<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 06 10 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     64   21.8    6.6    6.3   360   18.7    1.7   11.1   31.75   983.14   202   21.8    4.8   24.7   25.5   24.4   23.6   22.1    1.42    1.46    1.34
 KIN2   133     5     64   21.6    6.4    6.1   356   16.7    1.6   10.4    0.00   983.22   160   21.7    4.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     63   21.2    6.9    6.6   353   17.0    1.4   10.0    0.00   983.39    97   21.4    5.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     64   21.0    6.3    5.9   355   19.2    1.3    9.7    0.00   983.48    90   21.3    4.6   24.7   25.4   24.4   23.7   22.2    -995    -995    -995
 KIN2   133    20     64   21.0    5.6    5.3     3   19.1    1.4    9.8    0.00   983.60    77   21.3    4.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     63   21.0    6.8    6.5     6   17.0    1.7   11.2    0.00   983.72    81   21.3    5.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     62   21.1    5.7    5.4     1   18.9    1.4    9.2    0.00   983.90    80   21.3    4.3   24.7   25.3   24.3   23.8   22.2    1.43    1.47    1.33
 KIN2   133    35     63   21.1    3.9    3.8     3   14.7    1.0    8.3    0.00   984.07    68   21.3    2.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     63   21.1    4.7    4.4   360   20.6    1.2    8.4    0.00   984.25    57   21.3    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     62   21.0    4.8    4.6   356   17.0    1.3    7.7    0.00   984.25    55   21.3    3.5   24.6   25.1   24.2   23.8   22.2    -995    -995    -995
 KIN2   133    50     61   21.0    5.9    5.6   355   17.8    1.3    9.3    0.00   984.26    50   21.3    4.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     61   20.9    5.7    5.5   358   13.2    1.4   10.3    0.00   984.23    50   21.2    4.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     61   20.8    5.8    5.5   359   18.4    1.2    9.1    0.00   984.21    47   21.1    4.4   24.6   24.9   24.1   23.8   22.2    1.42    1.46    1.33
 KIN2   133    65     60   20.7    5.4    5.2   356   16.5    1.2    9.3    0.00   984.30    40   21.0    4.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     61   20.6    5.3    5.0     1   18.2    1.4    8.6    0.00   984.41    28   21.0    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     61   20.6    4.7    4.6   359   12.6    0.8    6.7    0.00   984.44    23   20.9    3.5   24.5   24.6   24.0   23.8   22.2    -995    -995    -995
 KIN2   133    80     60   20.6    5.9    5.7   355   14.1    1.2    9.1    0.00   984.44    20   20.9    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     62   20.3    5.7    5.5   357   17.9    1.3    9.3    0.00   984.48    15   20.7    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     61   20.3    5.7    5.6   348   13.1    1.3    8.5    0.00   984.62    11   20.6    4.2   24.4   24.4   23.9   23.8   22.2    1.42    1.46    1.33
 KIN2   133    95     62   20.2    5.3    5.0   354   18.6    1.1    8.8    0.00   984.73     8   20.5    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     62   20.1    6.1    5.7     1   20.2    1.2    8.8    0.00   984.81     6   20.4    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     63   19.8    5.4    5.2   351   15.8    1.4    8.4    0.00   984.88     4   20.1    4.0   24.4   24.2   23.8   23.8   22.2    -995    -995    -995
 KIN2   133   110     63   19.5    6.7    6.6   350   12.6    1.6    9.8    0.00   984.98     3   19.8    4.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     63   19.3    5.8    5.5   352   17.2    1.4    9.5    0.00   985.05     2   19.6    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     64   19.1    5.1    5.0   354   13.0    1.2    8.6    0.00   985.14     1   19.4    4.0   24.3   24.0   23.7   23.8   22.2    1.43    1.46    1.33
 KIN2   133   125     65   19.0    5.0    4.8   355   15.5    1.2    8.2    0.00   985.23     0   19.3    3.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     66   19.0    6.8    6.3   348   21.9    1.4   10.3    0.00   985.41     0   19.3    5.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     66   18.9    6.2    6.0   350   15.0    1.3    8.6    0.00   985.50     0   19.2    4.5   24.3   23.7   23.6   23.8   22.2    -995    -995    -995
 KIN2   133   140     67   18.8    6.0    5.8   351   16.1    1.6    9.7    0.00   985.61     0   19.0    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     68   18.6    4.8    4.5   349   18.4    1.0    7.0    0.00   985.71     0   18.9    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     68   18.5    4.9    4.8   350   13.7    1.0    7.8    0.00   985.72     0   18.8    3.8   24.2   23.5   23.5   23.8   22.2    1.42    1.46    1.33
 KIN2   133   155     69   18.4    5.6    5.3   352   16.8    1.6    9.6    0.00   985.71     0   18.7    4.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   160     69   18.3    5.7    5.6   356   13.2    1.3    9.7    0.00   985.68     0   18.7    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   165     69   18.3    5.2    5.1   355   13.8    1.1    7.7    0.00   985.76     0   18.6    3.6   24.1   23.3   23.4   23.8   22.2    -995    -995    -995
 KIN2   133   170     69   18.4    5.3    5.0   353   19.0    1.0    9.3    0.00   985.86     0   18.7    4.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   175     69   18.4    5.1    4.8   356   18.6    1.1    7.0    0.00   985.97     0   18.6    4.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   180     69   18.4    5.0    4.7   355   17.6    1.2    8.1    0.00   986.10     0   18.6    3.7   24.0   23.0   23.3   23.8   22.2    1.43    1.45    1.33
 KIN2   133   185     70   18.3    4.4    4.2   352   17.4    1.0    6.4    0.00   986.20     0   18.5    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   190     71   18.2    3.8    3.7   354   16.5    1.0    6.4    0.00   986.23     0   18.5    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   195     70   18.2    4.3    4.2   354   13.1    1.0    7.1    0.00   986.31     0   18.5    3.2   24.0   22.8   23.2   23.7   22.1    -995    -995    -995
 KIN2   133   200     70   18.3    4.8    4.6   356   13.3    0.9    6.8    0.00   986.43     0   18.5    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   205     70   18.3    4.9    4.7   353   17.5    1.2    7.8    0.00   986.54     0   18.6    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   210     69   18.4    4.8    4.6   349   13.2    1.0    7.3    0.00   986.65     0   18.6    3.6   23.9   22.6   23.1   23.7   22.1    1.43    1.46    1.33
 KIN2   133   215     69   18.4    3.8    3.7   340   13.5    1.1    6.3    0.00   986.79     0   18.6    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   220     71   18.2    3.2    3.1   348   15.4    1.0    5.3    0.00   986.89     0   18.5    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   225     70   18.3    4.5    4.2   353   23.0    0.9    6.7    0.00   986.89     0   18.5    3.4   23.8   22.4   23.1   23.7   22.1    -995    -995    -995
 KIN2   133   230     69   18.2    4.3    4.0   350   21.5    1.2    8.5    0.00   986.90     0   18.5    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   235     69   18.2    4.3    4.2   350   13.8    0.9    6.5    0.00   986.94     0   18.5    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   240     69   18.2    4.2    4.0   356   15.3    1.0    6.3    0.00   987.00     0   18.4    3.4   23.7   22.3   23.0   23.7   22.1    1.43    1.46    1.33
 KIN2   133   245     70   18.1    4.5    4.3     1   16.8    0.9    6.9    0.00   987.09     0   18.4    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   250     70   18.0    4.2    4.1   359   14.1    0.9    6.2    0.00   987.08     0   18.3    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   255     70   18.0    4.6    4.5   356   14.1    1.1    7.0    0.00   987.05     0   18.3    3.3   23.7   22.1   22.9   23.7   22.1    -995    -995    -995
 KIN2   133   260     70   18.0    4.2    4.0     5   16.8    1.1    7.2    0.00   987.07     0   18.3    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   265     70   18.0    4.1    4.0   354   16.1    1.2    6.5    0.00   987.17     0   18.2    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   270     71   17.8    3.9    3.7   358   16.7    1.1    6.3    0.00   987.23     0   18.1    2.8   23.6   22.0   22.9   23.7   22.1    1.42    1.46    1.33
 KIN2   133   275     71   17.7    4.6    4.2   352   22.7    1.0    7.0    0.00   987.30     0   18.0    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   280     71   17.5    4.2    4.1   351   13.2    0.8    6.6    0.00   987.44     0   17.9    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   285     72   17.2    3.7    3.6   354   12.5    0.7    5.2    0.00   987.55     0   17.7    2.8   23.6   21.9   22.8   23.7   22.1    -995    -995    -995
 KIN2   133   290     73   17.1    3.6    3.5   353   15.4    0.7    5.5    0.00   987.56     0   17.6    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   295     74   16.9    3.4    3.2   352   18.4    0.8    5.7    0.00   987.56     0   17.4    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   300     74   16.7    2.7    2.7   346   12.0    0.6    4.1    0.00   987.64     0   17.3    2.0   23.5   21.8   22.8   23.7   22.1    1.43    1.46    1.33
 KIN2   133   305     75   16.7    2.8    2.8   347   12.0    0.6    4.4    0.00   987.76     0   17.2    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   310     75   16.6    2.6    2.4   348   20.6    0.6    4.4    0.00   987.79     0   17.0    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   315     76   16.4    2.6    2.6   344   12.1    0.7    4.6    0.00   987.84     0   17.0    2.0   23.5   21.6   22.7   23.7   22.2    -995    -995    -995
 KIN2   133   320     77   16.4    3.1    3.0   345   14.0    0.6    4.6    0.00   987.80     0   16.9    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   325     78   16.2    2.9    2.8   348   17.1    0.6    4.9    0.00   987.74     0   16.7    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   330     79   16.1    3.1    2.9   344   19.4    0.7    5.0    0.00   987.83     0   16.6    2.1   23.4   21.5   22.7   23.7   22.2    1.42    1.46    1.33
 KIN2   133   335     79   16.0    2.9    2.8   342   12.0    0.7    4.4    0.00   987.93     0   16.5    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   340     79   15.9    2.8    2.7   346   17.8    0.6    4.3    0.00   988.02     0   16.4    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   345     80   15.7    2.7    2.6   343   17.0    0.6    4.1    0.00   988.03     0   16.3    1.9   23.4   21.3   22.6   23.7   22.2    -995    -995    -995
 KIN2   133   350     81   15.7    3.0    2.9   341   11.3    0.6    4.4    0.00   988.00     0   16.3    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   355     81   15.7    2.6    2.6   342   12.3    0.7    4.6    0.00   988.05     0   16.2    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   360     81   15.6    3.0    2.9   345   16.5    0.6    4.4    0.00   988.02     0   16.1    2.2   23.3   21.2   22.5   23.6   22.2    1.42    1.45    1.33
 KIN2   133   365     81   15.5    2.5    2.4   344   19.7    0.5    3.6    0.00   988.01     0   16.0    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   370     83   15.3    2.7    2.7   346   11.0    0.5    4.0    0.00   987.94     0   15.9    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   375     83   15.3    2.9    2.8   351   14.2    0.6    4.2    0.00   987.81     0   15.8    2.2   23.2   21.0   22.5   23.6   22.2    -995    -995    -995
 KIN2   133   380     84   15.2    3.3    3.1   353   16.7    0.6    4.6    0.00   987.68     0   15.7    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   385     84   15.2    2.9    2.8   351   15.8    0.5    4.3    0.00   987.68     0   15.6    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   390     84   15.0    2.5    2.5   347   14.7    0.6    4.0    0.00   987.79     0   15.6    1.5   23.2   20.8   22.4   23.6   22.1    1.41    1.46    1.32
 KIN2   133   395     84   15.1    2.4    2.2   351   22.0    0.6    4.1    0.00   987.83     0   15.6    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   400     84   14.9    2.1    1.9     0   20.3    0.6    3.6    0.00   987.93     0   15.5    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   405     85   14.8    2.1    2.0   355   18.4    0.6    3.8    0.00   988.00     0   15.5    1.5   23.1   20.7   22.3   23.6   22.1    -995    -995    -995
 KIN2   133   410     84   14.9    2.4    2.4   360   11.5    0.5    3.9    0.00   988.03     0   15.6    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   415     84   14.9    2.5    2.4   353   14.4    0.6    3.9    0.00   988.10     0   15.5    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   420     83   15.0    2.6    2.5   357   16.1    0.5    3.9    0.00   988.15     0   15.6    1.8   23.1   20.5   22.2   23.6   22.1    1.41    1.45    1.33
 KIN2   133   425     82   15.1    2.8    2.6   359   21.2    0.6    4.6    0.00   988.25     0   15.6    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   430     82   15.1    3.1    3.0   350   13.9    0.5    4.4    0.00   988.30     0   15.8    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   435     80   15.3    3.6    3.3   350   23.8    1.0    6.1    0.00   988.30     0   15.9    2.6   23.0   20.4   22.2   23.5   22.1    -995    -995    -995
 KIN2   133   440     80   15.3    3.7    3.6   346   11.5    0.8    5.7    0.00   988.25     0   15.9    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   445     80   15.4    3.8    3.7   348   13.3    0.8    6.1    0.00   988.28     0   15.8    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   450     80   15.3    3.6    3.5   348   16.3    0.9    5.9    0.00   988.25     0   15.8    2.7   22.9   20.2   22.1   23.5   22.1    1.41    1.45    1.32
 KIN2   133   455     80   15.3    3.9    3.8   345   13.1    0.8    5.8    0.00   988.25     0   15.8    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   460     80   15.3    3.8    3.6   344   21.4    0.7    5.3    0.00   988.31     0   15.8    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   465     80   15.3    3.8    3.6   341   16.5    0.8    5.9    0.00   988.44     0   15.8    2.7   22.9   20.1   22.0   23.5   22.1    -995    -995    -995
 KIN2   133   470     80   15.2    3.6    3.5   348   12.3    0.8    5.7    0.00   988.52     0   15.8    2.4   -995   -995   -995   -995   -995    -995    -995    -995
