<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 01 12 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     94    6.8    3.2    3.2   158    6.7    0.3    4.1   10.16   972.77     0    6.9    2.4    6.8    6.3    6.9    7.3    8.4    1.46    1.55    1.42
 KIN2   133     5     94    6.8    3.0    2.9   148    7.2    0.3    3.7    0.00   972.73     0    6.9    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     94    6.7    2.5    2.5   153    8.4    0.4    3.7    0.00   972.74     0    6.9    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     95    6.7    2.7    2.7   151    8.9    0.5    3.8    0.00   972.77     0    6.9    2.1    6.9    6.3    6.9    7.3    8.4    -995    -995    -995
 KIN2   133    20     95    6.8    2.6    2.6   142    9.2    0.3    3.4    0.00   972.68     0    6.9    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     95    6.8    2.0    2.0   134   12.8    0.4    2.8    0.00   972.67     0    6.9    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     95    6.8    2.1    2.1   138    8.6    0.3    2.6    0.00   972.72     0    6.9    1.7    6.9    6.4    6.9    7.3    8.4    1.45    1.56    1.43
 KIN2   133    35     95    6.8    2.5    2.5   139   10.2    0.3    3.2    0.00   972.73     0    6.9    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     95    6.8    2.7    2.7   132    9.1    0.4    3.6    0.00   972.68     0    6.9    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     95    6.8    2.4    2.3   125   10.1    0.4    3.3    0.00   972.52     0    6.9    1.9    6.9    6.4    6.9    7.3    8.4    -995    -995    -995
 KIN2   133    50     95    6.8    2.2    2.2   118    8.1    0.3    2.9    0.00   972.51     0    6.8    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     96    6.8    2.2    2.1   123   13.7    0.3    3.2    0.00   972.55     0    6.9    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     96    6.8    1.9    1.9   116   17.7    0.5    3.2    0.00   972.57     0    6.9    1.6    6.9    6.4    6.9    7.3    8.4    1.45    1.55    1.42
 KIN2   133    65     96    6.7    1.9    1.9   102   10.2    0.4    2.8    0.00   972.52     0    6.8    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     96    6.7    2.3    2.2    96    8.4    0.4    3.3    0.00   972.46     0    6.7    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     96    6.6    2.4    2.4   104    9.9    0.5    3.8    0.00   972.36     0    6.7    1.8    6.9    6.4    6.9    7.3    8.4    -995    -995    -995
 KIN2   133    80     96    6.6    3.0    3.0   108    7.1    0.4    4.1    0.00   972.33     0    6.7    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     96    6.6    3.7    3.6   111    7.0    0.5    5.3    0.00   972.25     0    6.7    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     96    6.6    3.5    3.5   114    9.5    0.7    5.4    0.00   972.19     0    6.7    3.0    6.9    6.4    6.9    7.3    8.4    1.45    1.55    1.42
 KIN2   133    95     96    6.6    4.0    3.9   116    9.0    0.6    5.7    0.00   972.17     0    6.7    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     96    6.6    3.5    3.5   118   11.7    0.6    5.2    0.00   972.17     0    6.6    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     96    6.5    4.5    4.5   122    6.9    1.0    6.9    0.00   972.13     0    6.6    3.8    6.9    6.4    6.9    7.3    8.4    -995    -995    -995
 KIN2   133   110     96    6.5    4.5    4.5   123    8.1    0.7    5.9    0.00   972.10     0    6.6    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     96    6.5    3.9    3.8   128    8.3    0.6    5.1    0.00   972.13     0    6.5    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     96    6.4    3.6    3.6   134    7.8    0.8    5.6    0.00   972.19     0    6.5    3.1    6.9    6.4    6.9    7.3    8.4    1.45    1.55    1.42
 KIN2   133   125     96    6.4    3.8    3.7   130    7.5    0.5    5.1    0.00   972.05     0    6.5    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     96    6.4    3.9    3.9   128    9.8    0.7    5.7    0.00   971.94     0    6.5    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     96    6.4    3.4    3.3   123   10.6    0.4    4.5    0.00   971.83     0    6.5    2.6    6.9    6.4    6.9    7.4    8.4    -995    -995    -995
 KIN2   133   140     97    6.4    3.5    3.4   119    8.4    0.5    4.5    0.00   971.76     0    6.5    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     97    6.4    3.4    3.4   121    9.1    0.5    4.6    0.00   971.79     0    6.5    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     97    6.4    3.2    3.2   124    8.7    0.5    4.5    0.00   971.85     0    6.4    2.7    6.9    6.4    6.9    7.4    8.4    1.45    1.56    1.42
 KIN2   133   155     97    6.4    2.8    2.7   120    9.5    0.5    4.4    0.00   971.94     0    6.4    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   160     97    6.4    2.2    2.1   109   13.7    0.7    4.2    0.00   971.92     0    6.4    1.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   165     97    6.4    2.1    2.0   100   19.4    0.4    3.3    0.00   971.82     0    6.4    1.5    6.9    6.4    6.9    7.4    8.4    -995    -995    -995
 KIN2   133   170     97    6.3    2.3    2.2   104   11.9    0.4    3.3    0.00   971.84     0    6.4    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   175     97    6.3    2.3    2.2   101    8.7    0.3    3.0    0.00   971.91     0    6.4    1.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   180     98    6.3    2.2    2.1   104    9.0    0.3    2.8    0.00   971.96     0    6.4    1.8    6.9    6.4    6.9    7.4    8.4    1.45    1.55    1.43
 KIN2   133   185     98    6.4    2.0    2.0   100   13.8    0.4    3.5    0.00   972.02     0    6.4    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   190     98    6.4    2.1    2.1    82   15.1    0.5    3.3    0.00   972.00     0    6.4    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   195     98    6.4    2.2    1.7   341   36.8    0.9    3.9    0.00   972.28     0    6.4    1.6    6.9    6.4    6.9    7.4    8.4    -995    -995    -995
 KIN2   133   200     98    6.3    3.3    3.2   331   12.2    0.6    5.0    0.00   972.53     0    6.3    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   205     98    6.3    2.3    2.1    43   21.6    0.3    2.9    0.00   972.24     0    6.3    1.8   -995   -995   -995   -995   -995    -995    -995    -995
