<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 07 02 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     45   31.9    5.4    5.3   159    9.9    0.9    7.5    0.00   974.82   216   31.6    4.2   26.1   35.5   26.6   25.0   23.4    3.53    3.08    2.56
 KIN2   133     5     46   31.3    4.2    4.2   161    8.1    0.6    5.6    0.00   974.81   194   31.3    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     45   31.8    5.4    5.3   154    9.1    0.9    7.9    0.00   974.83   294   31.5    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     45   31.8    5.7    5.6   157    9.6    0.6    6.8    0.00   974.80   261   31.5    4.5   26.1   35.4   26.6   25.1   23.4    -995    -995    -995
 KIN2   133    20     46   31.6    5.6    5.5   158    8.0    0.9    7.2    0.00   974.78   242   31.4    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     48   31.4    5.0    5.0   142    9.4    0.6    6.4    0.00   974.83   244   31.2    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     49   31.4    4.3    4.2   144   13.5    0.8    6.4    0.00   974.78   250   31.2    3.5   26.1   35.3   26.5   25.1   23.4    3.53    3.08    2.56
 KIN2   133    35     49   31.4    5.6    5.6   141    8.1    1.0    8.7    0.00   974.80   220   31.1    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     50   31.0    5.9    5.8   136    8.7    0.9    8.1    0.00   974.88   181   30.8    4.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     51   30.8    5.5    5.4   136   10.6    0.9    8.3    0.00   974.85   172   30.7    4.5   26.1   35.1   26.5   25.1   23.4    -995    -995    -995
 KIN2   133    50     51   30.7    5.5    5.4   124    7.2    0.8    7.1    0.00   974.88   162   30.6    4.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     52   30.5    5.0    4.9   127    9.5    0.8    7.3    0.00   974.92   140   30.5    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     52   30.5    5.0    5.0   137    9.8    1.0    8.1    0.00   974.92   130   30.5    4.1   26.1   35.0   26.5   25.1   23.4    3.53    3.08    2.56
 KIN2   133    65     52   30.2    6.1    6.0   128    9.8    1.0    8.5    0.00   974.92   106   30.2    5.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     54   30.0    4.9    4.8   131    7.9    1.1    7.1    0.00   974.91    79   30.1    4.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     55   29.8    4.6    4.5   128   10.6    0.7    6.3    0.00   974.85    41   30.0    3.7   26.1   34.8   26.5   25.2   23.5    -995    -995    -995
 KIN2   133    80     56   29.5    5.0    4.9   127    8.9    0.9    7.2    0.00   974.89    28   29.8    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     57   29.4    4.7    4.6   129    8.9    0.8    6.3    0.00   974.90    26   29.6    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     58   29.2    4.2    4.2   132   10.0    0.6    6.0    0.00   974.93    20   29.5    3.5   26.0   34.7   26.5   25.2   23.5    3.53    3.08    2.56
 KIN2   133    95     58   29.1    4.8    4.7   132    8.5    0.7    6.2    0.00   975.02    16   29.4    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     59   28.9    4.4    4.4   131    8.4    0.6    5.6    0.00   975.00    12   29.3    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     59   28.8    4.0    4.0   137    8.7    0.6    5.3    0.00   975.01     6   29.1    3.3   26.0   34.5   26.4   25.2   23.5    -995    -995    -995
