<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 06 11 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     31   24.3    2.7    2.4    75   26.2    0.6    4.0    0.00   985.93   240   24.6    2.0   24.8   25.5   24.2   23.4   22.1    1.42    1.47    1.33
 KIN2   133     5     32   24.2    2.2    2.2    94    8.6    0.3    2.9    0.00   985.86   218   24.6    1.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     32   24.2    3.0    2.9    81   12.0    0.4    3.9    0.00   985.88   252   24.6    1.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     32   24.3    2.1    2.1    76   12.1    0.8    3.6    0.00   985.91   259   24.6    1.3   24.7   25.4   24.1   23.4   22.1    -995    -995    -995
 KIN2   133    20     32   24.2    2.5    2.5    64    6.3    0.5    3.6    0.00   985.90   236   24.6    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     32   24.0    2.2    2.2    57   10.5    0.3    3.2    0.00   985.92   186   24.5    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     33   23.7    2.1    2.1    61   11.7    0.3    2.8    0.00   985.87   121   24.4    1.4   24.7   25.2   24.0   23.4   22.1    1.42    1.46    1.33
 KIN2   133    35     36   23.4    1.6    1.5    69   11.9    0.3    2.4    0.00   985.89    94   24.2    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     36   23.3    1.8    1.8    91    7.2    0.3    2.5    0.00   985.93    74   24.1    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     36   23.0    2.1    2.1    84    6.5    0.3    2.9    0.00   985.89    91   24.0    1.0   24.6   25.1   24.0   23.5   22.1    -995    -995    -995
 KIN2   133    50     37   23.1    2.0    2.0    90    9.7    0.3    2.7    0.00   985.82   124   24.0    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     38   23.0    1.9    1.9    91    5.4    0.2    2.5    0.00   985.81    95   23.9    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     39   22.7    2.1    2.0    91    5.4    0.2    2.6    0.00   985.82    77   23.9    0.9   24.6   24.9   23.9   23.5   22.2    1.43    1.47    1.34
 KIN2   133    65     40   22.4    2.0    1.9    91    8.2    0.2    2.5    0.00   985.79    52   23.7    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     42   22.2    1.6    1.6    92    5.8    0.2    2.2    0.00   985.79    42   23.5    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     44   21.9    1.8    1.8    91    5.7    0.2    2.3    0.00   985.82    35   23.4    0.2   24.5   24.7   23.8   23.6   22.2    -995    -995    -995
 KIN2   133    80     45   21.7    2.1    2.1    89    4.0    0.1    2.5    0.00   985.87    29   23.2    0.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     46   21.5    1.7    1.7    99    5.6    0.2    2.2    0.00   985.83    21   23.0    0.5   -995   -995   -995   -995   -995    -995    -995    -995
