<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 10 04 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     86   14.5    3.8    3.7   359   12.7    0.8    5.8    0.00   984.22     3   14.4    2.9   24.1   25.4   23.7   24.7   24.8    2.69    2.14    3.68
 KIN2   133     5     86   14.5    4.0    3.7     4   19.2    0.9    5.7    0.00   984.18     2   14.4    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     86   14.4    4.1    4.0    12   11.3    0.9    5.8    0.00   984.07     2   14.4    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     87   14.3    4.0    3.9     8   12.0    0.9    6.1    0.00   984.08     1   14.2    3.2   24.1   25.2   23.6   24.7   24.8    -995    -995    -995
 KIN2   133    20     87   14.2    4.0    3.9   356   15.9    0.7    5.7    0.00   984.21     1   14.1    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     88   14.1    4.3    4.1     2   17.1    0.9    6.3    0.00   984.38     0   14.1    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     88   14.0    3.7    3.5     1   14.9    0.9    6.1    0.00   984.48     0   13.9    2.9   24.0   25.0   23.6   24.7   24.8    2.69    2.14    3.68
 KIN2   133    35     89   13.9    3.9    3.8     2   12.5    0.9    5.9    0.00   984.45     0   13.9    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     89   13.8    4.3    4.3     6   10.7    0.8    6.0    0.00   984.49     0   13.8    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     90   13.7    4.3    4.1    10   19.4    1.0    6.7    0.00   984.52     0   13.7    3.4   24.0   24.9   23.5   24.6   24.8    -995    -995    -995
 KIN2   133    50     90   13.7    3.7    3.6     9   14.3    0.7    5.5    0.00   984.61     0   13.7    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     90   13.6    4.2    4.1     3   13.4    0.9    6.3    0.00   984.71     0   13.6    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     90   13.5    4.9    4.8   359   12.5    1.0    7.5    0.00   984.70     0   13.5    3.9   24.0   24.7   23.4   24.6   24.8    2.70    2.15    3.68
 KIN2   133    65     91   13.4    4.4    4.1     0   21.7    1.0    6.6    0.00   984.67     0   13.4    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     91   13.4    4.3    4.0   358   20.6    0.7    5.8    0.00   984.68     0   13.3    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     91   13.4    4.4    4.3     9   14.6    0.9    6.3    0.00   984.67     0   13.3    3.4   23.9   24.6   23.4   24.6   24.8    -995    -995    -995
 KIN2   133    80     91   13.3    4.5    4.3     7   19.0    1.3    7.3    0.00   984.73     0   13.3    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     91   13.3    4.5    4.4     4   16.4    1.0    7.1    0.00   984.82     0   13.3    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     91   13.3    4.4    4.2     6   16.5    0.9    6.6    0.00   984.82     0   13.3    3.1   23.9   24.4   23.3   24.6   24.7    2.71    2.14    3.68
 KIN2   133    95     91   13.3    4.7    4.5     8   16.4    1.0    7.0    0.00   984.92     0   13.3    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     91   13.3    4.5    4.4     3   11.7    0.9    6.7    0.00   985.01     0   13.3    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     91   13.4    3.9    3.8     6   12.2    0.8    5.9    0.00   985.07     0   13.4    2.8   23.8   24.3   23.3   24.6   24.7    -995    -995    -995
 KIN2   133   110     90   13.4    4.7    4.5     6   13.9    0.9    6.8    0.00   985.14     0   13.4    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     90   13.3    4.4    4.3   356   12.1    0.9    6.8    0.00   985.19     0   13.3    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     90   13.3    4.4    4.4     5   10.3    0.9    6.3    0.00   985.28     0   13.3    3.3   23.8   24.1   23.2   24.6   24.7    2.70    2.14    3.68
 KIN2   133   125     90   13.4    4.3    4.2    14   10.8    0.9    6.6    0.00   985.29     0   13.3    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     90   13.4    3.9    3.7    16   15.1    0.6    5.2    0.00   985.35     0   13.4    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     90   13.4    4.1    4.0    17   13.0    0.7    6.0    0.00   985.36     0   13.4    3.1   23.8   24.0   23.1   24.5   24.7    -995    -995    -995
 KIN2   133   140     90   13.4    4.9    4.9    14   10.9    0.9    6.8    0.00   985.44     0   13.3    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     90   13.4    4.5    4.4    20   10.7    0.8    6.2    0.00   985.56     0   13.3    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     90   13.4    3.8    3.7    17   13.9    0.7    5.8    0.00   985.61     0   13.4    3.1   23.7   23.8   23.1   24.5   24.7    2.70    2.14    3.68
 KIN2   133   155     90   13.4    3.6    3.5    21   10.7    0.8    5.6    0.00   985.69     0   13.4    2.8   -995   -995   -995   -995   -995    -995    -995    -995
