<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 08 26 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     63   30.2    4.9    4.9   139    8.2    0.7    6.2   12.70   969.40   158   30.3    3.7   28.2   30.1   28.8   27.3   26.5    2.67    2.77    3.69
 KIN2   133     5     63   30.1    4.9    4.8   138    8.0    0.9    6.9    0.00   969.31   142   30.2    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     64   30.0    4.5    4.4   136    7.2    0.5    5.6    0.00   969.28   130   30.1    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     64   29.9    4.6    4.5   141    9.1    0.6    6.0    0.00   969.27   116   30.1    3.4   28.2   30.1   28.7   27.4   26.5    -995    -995    -995
 KIN2   133    20     64   29.8    5.0    4.9   139    9.1    0.8    7.1    0.00   969.25   101   30.0    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     65   29.6    4.6    4.5   136    8.1    0.8    6.3    0.00   969.30    86   29.9    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     65   29.5    4.5    4.5   135   10.9    0.8    6.1    0.00   969.33    72   29.8    3.4   28.2   30.0   28.6   27.4   26.5    2.67    2.78    3.69
 KIN2   133    35     66   29.2    4.7    4.6   140    8.8    0.7    6.7    0.00   969.32    53   29.6    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     66   29.1    4.7    4.6   140    8.0    0.6    5.9    0.00   969.27    30   29.5    3.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     67   28.9    4.3    4.3   138    9.5    0.7    6.0    0.00   969.23    25   29.3    3.1   28.2   29.9   28.6   27.5   26.6    -995    -995    -995
 KIN2   133    50     68   28.7    4.1    4.1   139    8.0    0.5    5.9    0.00   969.21    21   29.2    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     68   28.7    4.4    4.4   139    8.0    0.7    6.2    0.00   969.17    18   29.2    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     68   28.5    4.3    4.3   140    7.9    0.5    5.5    0.00   969.12    13   29.0    3.1   28.2   29.7   28.5   27.5   26.6    2.65    2.77    3.69
 KIN2   133    65     69   28.4    4.3    4.3   144    7.9    0.5    5.4    0.00   969.07     9   28.9    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     70   28.2    4.0    4.0   142    6.9    0.5    5.2    0.00   969.08     6   28.8    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     71   28.0    3.9    3.9   142    6.3    0.5    4.8    0.00   969.09     3   28.7    2.5   28.2   29.6   28.4   27.5   26.6    -995    -995    -995
 KIN2   133    80     72   27.9    3.4    3.4   138    5.8    0.5    4.6    0.00   969.09     2   28.6    2.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     72   27.8    3.3    3.3   137    7.5    0.4    4.4    0.00   969.10     1   28.5    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     73   27.6    3.3    3.3   138    8.1    0.4    4.1    0.00   969.13     0   28.4    2.2   28.1   29.4   28.2   27.5   26.5    2.66    2.76    3.70
 KIN2   133    95     73   27.5    3.4    3.4   139    6.9    0.5    4.4    0.00   969.16     0   28.3    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     74   27.4    3.1    3.0   135    7.2    0.4    4.0    0.00   969.23     0   28.2    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     75   27.4    3.1    3.1   132    7.8    0.5    4.3    0.00   969.28     0   28.1    2.1   28.1   29.2   28.1   27.5   26.5    -995    -995    -995
 KIN2   133   110     74   27.5    3.2    3.2   134    6.6    0.4    4.1    0.00   969.30     0   28.2    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     75   27.3    3.1    3.1   136    7.0    0.4    4.2    0.00   969.31     0   28.1    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     75   27.2    3.0    3.0   135    6.5    0.4    3.9    0.00   969.34     0   28.0    1.9   28.0   29.1   28.0   27.5   26.5    2.65    2.76    3.69
 KIN2   133   125     76   27.0    2.5    2.5   133    5.9    0.3    3.3    0.00   969.34     0   27.8    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     77   26.8    2.2    2.2   129    6.4    0.2    3.0    0.00   969.41     0   27.8    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     78   26.7    1.8    1.8   122    7.8    0.2    2.5    0.00   969.46     0   27.6    0.9   28.0   28.9   27.9   27.5   26.5    -995    -995    -995
 KIN2   133   140     78   26.8    2.0    2.0   125    9.2    0.4    2.9    0.00   969.50     0   27.6    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     77   26.9    2.5    2.5   129    8.4    0.4    3.6    0.00   969.53     0   27.6    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     77   26.8    2.2    2.2   122   10.1    0.4    3.0    0.00   969.58     0   27.6    1.5   28.0   28.8   27.8   27.5   26.4    2.64    2.75    3.69
 KIN2   133   155     79   26.4    1.8    1.8   114    7.1    0.3    2.4    0.00   969.64     0   27.3    1.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   160     80   26.2    1.9    1.9   117    5.8    0.2    2.6    0.00   969.69     0   27.2    1.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   165     80   26.2    2.0    2.0   118    6.4    0.3    2.8    0.00   969.71     0   27.1    1.2   27.9   28.6   27.7   27.5   26.4    -995    -995    -995
 KIN2   133   170     81   26.1    2.2    2.2   120    7.8    0.2    2.7    0.00   969.72     0   27.1    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   175     81   26.2    2.1    2.1   122    7.5    0.3    2.9    0.00   969.74     0   27.1    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   180     81   26.2    2.2    2.1   128    8.9    0.5    3.9    0.00   969.75     0   27.0    1.3   27.9   28.5   27.7   27.4   26.4    2.63    2.75    3.69
 KIN2   133   185     80   26.3    2.4    2.4   134    8.8    0.5    3.7    0.00   969.79     0   27.0    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   190     80   26.3    2.5    2.5   136    9.5    0.4    3.5    0.00   969.83     0   27.1    1.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   195     80   26.4    2.8    2.8   139    8.0    0.4    3.9    0.00   969.84     0   27.1    1.9   27.8   28.4   27.6   27.4   26.4    -995    -995    -995
 KIN2   133   200     80   26.4    3.3    3.3   143    8.7    0.5    4.5    0.00   969.87     0   27.2    2.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   205     80   26.5    3.3    3.3   144    7.7    0.4    4.5    0.00   969.90     0   27.2    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   210     80   26.5    3.4    3.4   146    7.9    0.6    5.0    0.00   969.91     0   27.2    2.2   27.8   28.3   27.5   27.4   26.4    2.63    2.75    3.70
 KIN2   133   215     80   26.4    3.3    3.3   144    7.6    0.4    4.3    0.00   969.91     0   27.2    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   220     80   26.5    3.4    3.4   141    6.3    0.4    4.4    0.00   969.91     0   27.1    2.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   225     80   26.4    3.3    3.3   143    6.3    0.5    4.9    0.00   969.91     0   27.1    2.2   27.7   28.1   27.4   27.4   26.4    -995    -995    -995
 KIN2   133   230     81   26.4    3.2    3.2   145    6.4    0.5    4.1    0.00   969.93     0   27.0    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   235     81   26.3    3.5    3.5   144    6.0    0.4    4.6    0.00   969.93     0   27.0    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   240     81   26.2    3.6    3.6   143    6.5    0.4    4.8    0.00   969.92     0   27.0    2.2   27.7   28.0   27.4   27.4   26.4    2.63    2.74    3.70
 KIN2   133   245     82   26.2    3.5    3.5   143    6.9    0.5    4.8    0.00   969.92     0   26.9    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   250     82   26.3    3.7    3.7   146    7.8    0.5    4.8    0.00   969.93     0   26.9    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   255     82   26.2    3.6    3.5   143    6.9    0.5    5.1    0.00   969.94     0   26.9    2.4   27.6   27.9   27.3   27.4   26.4    -995    -995    -995
 KIN2   133   260     82   26.1    3.3    3.2   142    7.6    0.4    4.4    0.00   969.97     0   26.8    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   265     82   26.1    3.0    2.9   136    8.5    0.5    5.1    0.00   969.98     0   26.8    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   270     82   26.0    2.9    2.8   138    9.8    0.4    3.8    0.00   969.95     0   26.7    1.9   27.6   27.8   27.3   27.4   26.4    2.61    2.73    3.69
 KIN2   133   275     83   26.0    3.0    3.0   137    7.6    0.5    4.0    0.00   969.90     0   26.6    2.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   280     83   26.0    3.1    3.1   140    8.1    0.4    4.0    0.00   969.90     0   26.6    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   285     84   25.8    3.3    3.3   143    7.9    0.5    4.7    0.00   969.86     0   26.5    2.2   27.5   27.7   27.2   27.4   26.4    -995    -995    -995
 KIN2   133   290     84   25.9    3.9    3.9   145    7.8    0.5    4.8    0.00   969.83     0   26.5    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   295     84   25.9    3.8    3.8   146    7.5    0.5    5.1    0.00   969.79     0   26.4    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   300     84   25.8    4.2    4.1   147    6.5    0.8    5.5    0.00   969.71     0   26.4    2.9   27.5   27.6   27.2   27.3   26.4    2.60    2.73    3.70
 KIN2   133   305     85   25.7    3.7    3.7   150    6.7    0.6    5.1    0.00   969.61     0   26.3    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   310     85   25.6    3.7    3.6   151    7.4    0.5    4.7    0.00   969.51     0   26.2    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   315     85   25.5    3.8    3.8   149    8.7    0.7    5.2    0.00   969.48     0   26.1    2.5   27.5   27.5   27.2   27.3   26.4    -995    -995    -995
 KIN2   133   320     85   25.6    3.5    3.5   146    7.4    0.4    4.6    0.00   969.45     0   26.1    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   325     86   25.5    3.3    3.2   144    8.6    0.5    4.5    0.00   969.45     0   26.0    2.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   330     86   25.5    3.5    3.5   143    8.7    0.6    5.6    0.00   969.50     0   26.0    2.4   27.5   27.4   27.1   27.3   26.4    2.60    2.73    3.69
 KIN2   133   335     86   25.5    3.8    3.7   144    7.9    0.6    5.0    0.00   969.49     0   26.0    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   340     86   25.4    3.5    3.5   146    9.9    0.5    4.6    0.00   969.44     0   25.9    2.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   345     86   25.3    3.9    3.8   149    8.4    0.6    5.6    0.00   969.33     0   25.8    2.8   27.4   27.4   27.1   27.3   26.4    -995    -995    -995
 KIN2   133   350     86   25.3    4.5    4.4   149    8.4    0.6    5.6    0.00   969.19     0   25.9    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   355     87   25.3    4.7    4.7   154    6.5    0.5    5.8    0.00   969.07     0   25.8    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   360     87   25.2    4.4    4.4   152    7.3    0.7    6.1    0.00   969.04     0   25.7    3.1   27.4   27.3   27.1   27.3   26.4    2.59    2.72    3.70
 KIN2   133   365     87   25.2    4.1    4.0   154    8.2    0.6    5.6    0.00   969.09     0   25.7    2.9   -995   -995   -995   -995   -995    -995    -995    -995
