<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 01 17 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     91    8.7    2.0    2.0   172    5.0    0.2    2.5    0.00   976.50     0    9.0    1.3    6.9    7.0    7.1    7.1    8.1    1.45    1.55    1.40
 KIN2   133     5     91    8.6    0.7    0.6   182   24.6    0.6    1.8    0.00   976.62     0    8.9    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     91    8.7    0.1    0.1   310    6.2    0.1    0.5    0.00   976.72     0    8.9    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     91    8.6    0.2    0.2    59    3.8    0.3    0.8    0.00   976.68     0    8.9    0.0    6.9    7.0    7.1    7.1    8.1    -995    -995    -995
 KIN2   133    20     91    8.4    1.1    1.0    28   13.4    0.1    1.4    0.00   976.66     0    8.9    0.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     92    8.6    0.9    0.9    41   14.3    0.2    1.3    0.00   976.63     0    8.9    0.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     91    8.5    1.1    1.1    75    4.9    0.1    1.3    0.00   976.53     0    8.9    0.2    6.9    7.0    7.1    7.1    8.1    1.45    1.55    1.40
 KIN2   133    35     92    8.4    1.3    1.3    75    6.5    0.2    1.7    0.00   976.58     0    8.9    0.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     92    8.3    1.8    1.7    76    9.4    0.1    2.1    0.00   976.51     0    8.9    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     93    8.5    1.8    1.8    85    9.0    0.2    2.3    0.00   976.46     0    8.9    1.0    6.9    7.0    7.1    7.1    8.1    -995    -995    -995
 KIN2   133    50     92    8.6    1.4    1.4    70    7.1    0.2    1.7    0.00   976.59     0    8.9    0.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     92    8.6    1.6    1.6    99    7.4    0.2    2.0    0.00   976.56     0    8.9    0.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     92    8.5    1.9    1.9    96    7.4    0.1    2.3    0.00   976.47     0    8.9    1.2    6.9    7.0    7.1    7.1    8.1    1.45    1.55    1.40
 KIN2   133    65     92    8.6    2.1    2.1    79    4.5    0.3    2.6    0.00   976.53     0    8.9    1.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     92    8.5    2.3    2.3    88    6.2    0.2    2.8    0.00   976.35     0    8.8    1.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     92    8.5    2.2    2.2   104    6.8    0.3    2.9    0.00   976.31     0    8.8    1.5    6.9    6.9    7.1    7.1    8.1    -995    -995    -995
 KIN2   133    80     92    8.6    2.3    2.3    88    9.7    0.2    2.9    0.00   976.39     0    8.8    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     92    8.5    2.2    2.2    69    7.3    0.4    3.2    0.00   976.40     0    8.7    1.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     92    8.4    1.7    1.6    71   11.2    0.3    2.2    0.00   976.42     0    8.6    0.9    7.0    6.9    7.1    7.2    8.1    1.45    1.55    1.40
 KIN2   133    95     92    8.5    1.8    1.8    90    7.5    0.2    2.5    0.00   976.29     0    8.6    0.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     92    8.5    2.1    2.1   101    7.4    0.2    2.7    0.00   976.18     0    8.7    1.4   -995   -995   -995   -995   -995    -995    -995    -995
