<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 04 16 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     45   24.3   10.4   10.4   187    6.1    1.2   13.4    0.00   969.00   189   24.7    8.1   16.2   20.6   16.7   14.6   13.9    1.71    2.16    2.61
 KIN2   133     5     46   24.1    9.2    9.2   190    5.6    1.1   11.7    0.00   969.08   188   24.5    6.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     47   24.0    9.7    9.7   192    6.1    1.0   12.6    0.00   969.03   159   24.4    7.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     47   23.8    8.8    8.7   189    6.9    1.2   11.0    0.00   968.96   136   24.2    6.7   16.2   20.5   16.7   14.7   13.9    -995    -995    -995
 KIN2   133    20     48   23.4    8.5    8.4   185    6.5    1.2   11.9    0.00   968.94   100   24.0    6.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     50   23.0    8.0    8.0   183    5.7    0.8   10.3    0.00   968.95    76   23.6    6.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     51   22.7    7.5    7.5   184    5.5    1.1   11.2    0.00   968.97    34   23.4    5.6   16.2   20.5   16.7   14.7   13.9    1.72    2.17    2.62
 KIN2   133    35     52   22.3    7.2    7.1   182    7.0    0.7    8.7    0.00   968.98    26   23.1    5.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     54   22.0    6.7    6.6   181    5.9    1.0    9.6    0.00   969.00    20   22.8    4.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     53   22.0    6.8    6.8   180    6.6    0.8    8.9    0.00   969.02    16   22.8    5.0   16.2   20.4   16.7   14.8   14.0    -995    -995    -995
 KIN2   133    50     53   22.0    6.9    6.9   178    5.9    0.8    9.0    0.00   969.04    14   22.8    5.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     53   21.9    6.8    6.7   178    5.5    0.9    9.0    0.00   969.02    11   22.6    5.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     55   21.6    6.6    6.6   176    6.7    1.2    9.5    0.00   969.00     7   22.4    5.0   16.2   20.3   16.6   14.9   14.0    1.73    2.15    2.61
 KIN2   133    65     54   21.8    7.6    7.6   179    6.1    0.9    9.7    0.00   969.01     5   22.6    5.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     53   21.9    8.5    8.5   181    5.7    1.1   11.6    0.00   969.04     2   22.6    6.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     53   21.7    7.6    7.6   180    6.4    0.9    9.7    0.00   969.06     1   22.4    5.7   16.1   20.1   16.5   14.9   14.0    -995    -995    -995
 KIN2   133    80     54   21.4    6.6    6.5   178    5.4    0.6    8.7    0.00   969.10     0   22.1    4.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     55   21.0    6.1    6.1   178    6.9    0.7    7.7    0.00   969.12     0   21.8    4.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     55   21.0    6.9    6.8   177    6.0    0.9    9.4    0.00   969.12     0   21.8    5.1   16.1   20.0   16.4   14.9   13.9    1.74    2.16    2.61
 KIN2   133    95     55   20.9    7.0    7.0   177    5.4    0.8    9.0    0.00   969.16     0   21.7    5.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     56   20.8    6.7    6.7   178    6.3    0.8    9.1    0.00   969.21     0   21.5    5.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     56   20.8    6.9    6.9   177    6.4    0.7    8.9    0.00   969.21     0   21.5    5.2   16.0   19.8   16.3   14.9   13.9    -995    -995    -995
 KIN2   133   110     56   20.8    6.8    6.7   176    6.3    0.9    9.2    0.00   969.32     0   21.4    5.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     56   20.7    7.4    7.4   174    6.7    0.9    9.6    0.00   969.36     0   21.5    5.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     56   20.8    7.4    7.4   174    5.9    1.0   10.4    0.00   969.39     0   21.5    5.8   16.0   19.6   16.2   14.9   13.9    1.74    2.15    2.61
 KIN2   133   125     56   20.7    7.5    7.5   173    6.0    0.9    9.6    0.00   969.41     0   21.4    5.8   -995   -995   -995   -995   -995    -995    -995    -995
