<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 09 29 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     66   28.7    3.8    3.8   156    7.2    0.5    5.6    0.00   972.11    19   29.5    2.9   26.0   29.4   26.3   25.7   25.1    2.06    1.60    3.69
 KIN2   133     5     67   28.6    4.1    4.1   157    5.8    0.5    5.5    0.00   972.06    12   29.4    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     68   28.4    4.2    4.1   158    6.5    0.4    5.2    0.00   972.15    11   29.2    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     68   28.2    4.0    4.0   154    6.3    0.4    5.0    0.00   972.20     6   29.1    2.9   26.0   29.2   26.2   25.7   25.2    -995    -995    -995
 KIN2   133    20     68   28.2    3.5    3.5   150    6.4    0.4    4.5    0.00   972.21     3   29.0    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     68   28.2    3.7    3.7   153    7.0    0.6    5.7    0.00   972.33     1   29.0    2.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     69   28.2    3.8    3.7   157    7.3    0.6    5.8    0.00   972.45     1   29.0    2.9   26.0   29.1   26.2   25.7   25.2    2.06    1.60    3.69
 KIN2   133    35     69   28.1    4.0    4.0   154    5.3    0.4    5.2    0.00   972.39     0   28.8    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     70   28.0    3.5    3.5   152    5.6    0.4    4.5    0.00   972.31     0   28.7    2.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     70   27.9    4.2    4.1   158    6.2    0.6    5.5    0.00   972.38     0   28.7    2.9   26.0   28.9   26.2   25.7   25.2    -995    -995    -995
 KIN2   133    50     70   27.9    4.1    4.1   161    6.1    0.5    5.6    0.00   972.61     0   28.7    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     70   27.9    4.4    4.4   157    6.1    0.7    6.2    0.00   972.62     0   28.7    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     69   28.0    4.5    4.5   158    5.1    0.5    5.7    0.00   972.64     0   28.7    3.5   25.9   28.8   26.1   25.7   25.1    2.06    1.61    3.69
 KIN2   133    65     70   27.8    4.3    4.3   160    6.3    0.5    5.4    0.00   972.75     0   28.6    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     70   27.7    4.0    4.0   157    5.5    0.4    4.9    0.00   972.67     0   28.5    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     70   27.6    4.0    3.9   159    7.8    0.5    5.1    0.00   972.79     0   28.4    2.9   25.9   28.6   26.0   25.7   25.1    -995    -995    -995
 KIN2   133    80     70   27.6    4.0    4.0   161    6.3    0.4    5.1    0.00   972.96     0   28.5    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     70   27.6    3.5    3.5   160    6.0    0.4    4.7    0.00   972.98     0   28.3    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     71   27.5    3.3    3.3   157    5.5    0.4    4.3    0.00   972.99     0   28.4    2.4   25.9   28.5   26.0   25.7   25.1    2.07    1.61    3.69
 KIN2   133    95     70   27.5    3.4    3.4   154    7.2    0.4    4.4    0.00   972.99     0   28.3    2.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     71   27.4    3.6    3.6   156    7.0    0.5    4.9    0.00   973.03     0   28.2    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     71   27.3    3.6    3.6   156    7.1    0.5    4.8    0.00   973.15     0   28.2    2.5   25.9   28.3   26.0   25.7   25.1    -995    -995    -995
 KIN2   133   110     72   27.2    3.8    3.8   153    6.9    0.5    5.0    0.00   973.13     0   28.1    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     72   27.1    3.6    3.6   157    6.0    0.5    4.7    0.00   973.19     0   28.0    2.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     73   26.9    4.2    4.2   162    5.8    0.6    5.7    0.00   973.25     0   27.8    3.1   25.9   28.2   25.9   25.7   25.1    2.06    1.61    3.69
 KIN2   133   125     73   26.9    4.5    4.5   158    5.6    0.5    5.6    0.00   973.34     0   27.8    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     73   26.9    4.3    4.3   158    7.6    0.5    5.8    0.00   973.47     0   27.8    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     73   26.9    4.5    4.5   158    5.9    0.5    5.5    0.00   973.50     0   27.7    3.3   25.8   28.1   25.9   25.7   25.1    -995    -995    -995
 KIN2   133   140     73   26.7    4.3    4.2   161    5.4    0.5    5.6    0.00   973.52     0   27.5    3.1   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     74   26.7    4.5    4.5   163    4.9    0.5    5.7    0.00   973.50     0   27.5    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     73   26.7    4.8    4.7   166    5.1    0.4    5.8    0.00   973.56     0   27.4    3.7   25.8   28.0   25.9   25.7   25.1    2.07    1.60    3.69
 KIN2   133   155     74   26.6    4.6    4.6   163    5.2    0.5    5.9    0.00   973.60     0   27.4    3.4   -995   -995   -995   -995   -995    -995    -995    -995
