<pre>  101 ! (c) 2019 Oklahoma Climatological Survey and the Oklahoma Mesonet - all rights reserved
  21 2019 08 06 00 00 00
 STID  STNM  TIME   RELH   TAIR   WSPD   WVEC  WDIR   WDSD   WSSD   WMAX    RAIN     PRES  SRAD   TA9M   WS2M   TS10   TB10   TS05   TS25   TS60    TR05    TR25    TR60
 KIN2   133     0     42   34.1    3.7    3.6   126   10.0    0.6    5.2    0.00   974.49   185   34.1    3.0   31.1   37.5   32.0   28.5   26.2    2.76    3.71    3.77
 KIN2   133     5     42   34.0    3.9    3.9   132    8.1    0.6    5.2    0.00   974.47   128   34.0    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    10     42   33.8    4.2    4.1   115   12.3    0.6    5.7    0.00   974.42   121   33.9    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    15     42   33.6    4.1    4.0   109    9.6    0.6    5.4    0.00   974.43    86   33.8    3.1   31.1   37.3   31.8   28.6   26.2    -995    -995    -995
 KIN2   133    20     43   33.5    3.4    3.3   108   11.9    0.5    4.5    0.00   974.42    63   33.8    2.6   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    25     44   33.3    4.4    4.4   101    9.8    1.3    6.9    0.00   974.42    61   33.5    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    30     45   33.0    4.1    4.1   104    8.2    0.9    6.2    0.00   974.51    59   33.2    3.3   31.1   37.1   31.7   28.6   26.2    2.77    3.71    3.78
 KIN2   133    35     46   33.0    4.1    4.1   104    9.9    0.7    5.6    0.00   974.50    74   33.2    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    40     46   32.9    4.0    3.9   106   10.9    0.7    5.8    0.00   974.52   118   33.2    2.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    45     46   33.0    4.3    4.2   109   12.3    0.8    6.0    0.00   974.55   100   33.1    3.6   31.0   36.9   31.5   28.7   26.2    -995    -995    -995
 KIN2   133    50     46   33.0    4.5    4.5   108    9.9    1.0    6.9    0.00   974.58    90   33.1    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    55     47   32.8    4.9    4.8   114   10.6    0.8    6.4    0.00   974.56    94   33.0    3.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    60     47   32.7    4.6    4.5   112   13.1    0.8    6.1    0.00   974.56    78   32.9    3.8   30.9   36.7   31.2   28.7   26.2    2.77    3.71    3.78
 KIN2   133    65     48   32.5    4.9    4.8   103   11.2    1.1    7.7    0.00   974.58    64   32.7    3.7   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    70     49   32.3    4.1    4.0   109   11.9    0.8    6.3    0.00   974.55    49   32.6    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    75     50   32.0    5.5    5.4   100    9.4    0.8    7.4    0.00   974.53    35   32.3    4.2   30.8   36.4   31.1   28.7   26.2    -995    -995    -995
 KIN2   133    80     51   31.9    4.4    4.4   105   11.3    0.9    7.2    0.00   974.61    21   32.1    3.4   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    85     52   31.7    4.3    4.2   111   11.1    0.7    6.1    0.00   974.63    12   32.0    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133    90     52   31.5    4.2    4.1   110   11.5    0.8    6.2    0.00   974.59     5   31.9    3.3   30.8   36.2   30.9   28.7   26.2    2.78    3.72    3.78
 KIN2   133    95     53   31.4    4.5    4.4   111   10.8    0.8    6.4    0.00   974.57     3   31.8    3.5   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   100     53   31.3    4.9    4.8   110    9.2    0.8    7.1    0.00   974.57     1   31.7    3.9   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   105     53   31.2    4.8    4.8   114   10.3    0.9    6.9    0.00   974.52     0   31.5    3.8   30.7   36.0   30.8   28.8   26.2    -995    -995    -995
 KIN2   133   110     54   31.0    4.2    4.1   114    8.3    0.7    5.7    0.00   974.54     0   31.4    3.3   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   115     55   30.8    3.7    3.6   115    9.8    0.6    5.8    0.00   974.56     0   31.2    2.8   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   120     55   30.6    3.8    3.7   113    9.6    0.6    5.9    0.00   974.61     0   31.1    2.9   30.6   35.7   30.6   28.8   26.2    2.79    3.71    3.78
 KIN2   133   125     55   30.6    4.1    4.1   111    9.2    0.8    5.7    0.00   974.67     0   31.0    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   130     55   30.5    3.9    3.9   114   10.1    0.6    5.8    0.00   974.68     0   30.9    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   135     56   30.4    4.0    3.9   113    9.4    0.5    5.2    0.00   974.76     0   30.8    3.0   30.5   35.5   30.5   28.8   26.2    -995    -995    -995
 KIN2   133   140     56   30.3    3.8    3.7   114    9.2    0.7    5.5    0.00   974.79     0   30.7    3.0   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   145     56   30.2    3.9    3.8   115    8.0    0.6    5.3    0.00   974.89     0   30.6    3.2   -995   -995   -995   -995   -995    -995    -995    -995
 KIN2   133   150     57   30.1    3.7    3.7   112    8.7    0.6    4.9    0.00   974.96     0   30.5    2.9   30.4   35.2   30.3   28.8   26.2    2.80    3.72    3.78
